index,RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,County
7227,98408,7410,95742,zip,CA,CA,RANCHO CORDOVA,"Sacramento-Roseville-Folsom, CA",Sacramento County,SACRAMENTO
7228,82034,7412,55008,zip,MN,MN,CAMBRIDGE,"Minneapolis-St. Paul-Bloomington, MN-WI",Isanti County,ISANTI
7229,77040,7413,44140,zip,OH,OH,BAY VILLAGE,"Cleveland-Elyria, OH",Cuyahoga County,CUYAHOGA
7230,96426,7414,91436,zip,CA,CA,LOS ANGELES,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,LOS ANGELES
7231,58271,7417,01106,zip,MA,MA,LONGMEADOW,"Springfield, MA",Hampden County,HAMPDEN
7232,79497,7417,49004,zip,MI,MI,COOPER,"Kalamazoo-Portage, MI",Kalamazoo County,KALAMAZOO
7233,69256,7420,27244,zip,NC,NC,ELON,"Burlington, NC",Alamance County,ALAMANCE
7234,87600,7421,67460,zip,KS,KS,MCPHERSON,"McPherson, KS",McPherson County,MCPHERSON
7235,90407,7422,74447,zip,OK,OK,OKMULGEE,"Tulsa, OK",Okmulgee County,OKMULGEE
7236,76497,7423,43064,zip,OH,OH,PLAIN CITY,"Columbus, OH",Union County,UNION
7237,97183,7424,93250,zip,CA,CA,MC FARLAND,"Bakersfield, CA",Kern County,KERN
7238,85890,7425,63049,zip,MO,MO,HIGH RIDGE,"St. Louis, MO-IL",Jefferson County,JEFFERSON
7239,60096,7426,06029,zip,CT,CT,ELLINGTON,"Hartford-East Hartford-Middletown, CT",Tolland County,TOLLAND
7240,86327,7427,64080,zip,MO,MO,PLEASANT HILL,"Kansas City, MO-KS",Cass County,CASS
7241,64531,7428,16301,zip,PA,PA,OIL CITY,"Oil City, PA",Venango County,VENANGO
7242,75717,7429,40514,zip,KY,KY,LEXINGTON,"Lexington-Fayette, KY",Fayette County,FAYETTE
7243,98557,7429,96021,zip,CA,CA,CORNING,"Red Bluff, CA",Tehama County,TEHAMA
7244,64459,7431,16125,zip,PA,PA,GREENVILLE,"Youngstown-Warren-Boardman, OH-PA",Mercer County,MERCER
7245,59018,7432,03055,zip,NH,NH,MILFORD,"Manchester-Nashua, NH",Hillsborough County,HILLSBOROUGH
7246,94383,7433,84014,zip,UT,UT,CENTERVILLE,"Ogden-Clearfield, UT",Davis County,DAVIS
